predicates,submission_number
K913505,K913525
K843424,K922102
K902506,K922102
K823858,K922102
K875099,K925636
K791101,K933894
K833266,K933894
K810310,K935299
K925409,K935440
K863437,K940965
K933431,K943381
K930724,K933805
K923275,K935921
K873797,K935921
K912593,K935921
K921400,K935921
K870128,K935921
K881117,K935921
K854791,K935921
K900628,K935921
K860635,K935921
K823727,K935921
K862225,K935921
K851293,K941417
K893546,K941417
K883415,K941417
K921845,K941417
K853701,K941417
K912906,K943259
K852088,K943259
K923119,K945494
K934116,K945494
K892425,K946033
K933958,K946236
K950615,K952317
K861766,K952730
K841334,K952730
K803166,K952730
K770790,K924313
K943679,K933469
K891467,K933469
K813375,K935720
K935737,K935732
K894837,K940176
K842231,K940176
K903403,K940663
K896353,K940663
K884261,K940663
K841997,K940663
K910859,K940663
K935452,K945518
K914109,K945627
K943959,K946281
K850435,K946349
K936111,K950148
K904564,K950157
K904019,K950157
K935020,K950264
K864889,K950264
K822883,K950670
K780987,K950806
K921244,K950809
K925421,K950809
K933247,K950809
K950869,K950809
K894224,K950829
K894435,K951622
K823958,K951264
K833786,K951264
K883825,K951264
K905540,K951264
K896466,K951566
K934742,K951566
K905458,K951566
K934918,K951574
K822846,K951574
K934920,K951574
K792341,K951577
K934918,K951577
K934920,K951577
K934918,K951579
K822846,K951579
K934920,K951579
K926008,K951581
K894706,K951581
K894722,K951581
K924968,K951620
K920828,K951620
K894293,K951709
K875179,K951832
K896515,K951832
K912446,K951832
K871344,K951902
K924726,K951965
K926514,K951994
K844187,K952054
K850414,K952273
K870947,K952273
K854801,K952273
K813008,K952273
K891689,K952540
K902401,K952435
K942024,K952435
K924234,K953205
K883842,K952614
K884243,K952631
K893439,K952660
K941851,K952660
K890908,K952719
K915363,K952879
K923443,K952943
K922048,K952943
K910563,K952943
K921388,K952979
K864318,K952979
K945947,K952979
K875015,K952979
K874378,K952979
K055044,K953044
K963044,K953044
K923790,K953302
K880636,K953302
K873689,K953339
K792215,K953355
K792267,K953355
K790071,K953355
K874314,K953355
K912663,K953443
K914926,K953391
K913368,K953392
K913367,K953392
K952300,K953434
K902515,K953530
K896356,K953530
K944485,K953530
K911626,K953598
K870603,K953598
K915078,K953676
K902472,K953676
K903493,K953676
K904275,K953676
K900105,K953681
K930013,K953681
K900027,K953681
K943992,K953864
K770232,K953741
K910033,K953741
K873700,K953752
K925486,K953759
K924434,K953759
K941935,K953759
K931020,K953762
K930314,K953762
K914125,K953796
K884644,K953819
K941935,K953819
K904171,K953838
K810079,K953838
K862836,K953838
K923311,K953838
K864619,K953838
K944567,K953850
K923784,K953872
K915183,K953901
K871131,K953904
K771203,K953940
K771205,K953940
K925039,K953940
K864210,K953946
K925966,K953946
K935009,K954028
K933743,K954028
K914525,K954159
K941979,K954159
K831406,K954163
K910081,K954272
K940091,K954272
K891774,K954272
K900480,K954351
K895794,K954353
K892235,K954354
K941404,K954391
K914378,K954428
K801575,K954428
K923474,K954429
K853585,K954451
K931154,K954451
K882456,K954625
K454506,K954506
K895903,K954552
K882804,K954552
K931927,K954564
K874383,K954570
K896873,K954570
K895127,K954570
K920699,K954572
K910194,K954572
K830352,K954585
K841872,K954585
K844296,K954585
K860105,K954585
K922497,K954597
K932883,K954597
K944204,K954597
K895903,K954622
K882804,K954622
K931544,K954646
K945828,K954646
K921288,K954706
K864260,K954772
K864260,K954773
K913413,K954735
K851539,K954735
K820783,K954736
K944630,K954737
K912938,K954737
K911143,K954759
K900673,K954759
K863953,K954759
K922842,K954771
K953575,K954816
K884796,K954818
K840121,K954847
K831852,K954847
K900598,K954852
K900540,K954852
K862284,K954867
K880320,K954900
K771645,K954900
K933880,K954905
K951034,K954905
K900519,K954951
K932249,K954953
K861563,K954970
K910215,K954987
K952595,K955011
K950633,K955011
K930806,K955015
K954088,K955020
K770405,K955034
K882974,K955034
K792241,K955034
K944350,K955059
K946306,K955059
K912799,K955059
K901072,K955059
K920445,K955059
K901884,K955059
K900598,K955059
K913305,K955673
K831342,K955102
K910490,K955113
K943709,K955113
K922058,K955113
K941811,K955113
K912188,K955113
K933404,K955113
K946026,K955117
K952418,K955117
K925345,K955117
K951310,K955126
K910917,K955126
K941545,K955164
K930527,K955237
K951973,K955270
K926501,K955281
K920768,K955281
K920769,K955281
K944068,K955281
K894595,K955281
K901829,K955278
K926551,K955278
K862567,K955304
K922060,K955304
K930156,K955306
K922295,K955306
K872223,K955306
K850886,K955306
K935923,K955327
K945796,K955327
K915892,K955360
K915892,K955361
K852781,K955362
K852782,K955362
K862971,K955397
K415539,K955397
K915791,K955397
K911783,K955397
K851659,K955397
K811452,K955397
K792227,K955398
K942339,K955403
K942338,K955403
K155905,K955403
K915857,K955403
K923982,K955403
K884992,K955416
K945455,K955417
K950185,K955419
K902831,K955419
K936292,K955944
K934060,K955944
K940743,K955944
K914579,K955453
K944046,K955457
K924459,K955457
K821716,K955460
K842144,K955460
K905109,K955464
K830352,K955495
K844296,K955495
K943892,K955514
K934496,K955519
K941979,K955519
K933081,K955549
K922972,K955550
K954719,K955550
K902672,K955550
K910110,K955556
K801036,K955556
K874608,K955556
K910110,K955557
K801036,K955557
K874608,K955557
K952191,K955563
K930963,K955563
K935263,K955563
K952297,K955563
K934465,K955564
K942988,K955585
K854431,K955588
K935129,K955602
K935129,K955603
K935129,K955604
K935129,K955605
K930982,K955637
K914030,K955637
K905432,K955637
K945947,K955642
K924012,K955643
K934949,K955643
K923990,K955643
K884621,K955643
K924459,K955643
K922786,K955659
K921013,K955676
K940123,K955676
K935101,K955676
K940158,K955677
K943998,K955677
K944701,K955677
K810187,K955748
K914130,K955748
K872168,K955713
K945154,K955713
K861971,K955713
K841432,K955713
K912443,K955717
K896163,K955728
K882610,K955728
K885180,K955728
K911292,K955728
K905720,K955728
K911581,K955728
K914277,K955728
K903858,K955728
K921191,K955728
K860315,K955736
K944350,K955743
K946306,K955743
K901932,K955774
K915553,K955785
K940092,K955785
K781954,K955785
K933291,K955930
K942442,K955768
K925573,K955768
K861380,K955789
K831836,K955789
K911808,K955789
K880103,K955818
K941916,K955818
K931743,K955820
K930057,K955820
K871153,K955820
K944320,K955821
K860605,K955821
K882456,K955843
K901615,K955844
K913908,K955844
K952913,K955844
K951089,K955869
K922410,K955869
K922706,K955869
K912152,K955897
K831576,K955848
K930404,K955849
K941263,K955863
K945206,K955863
K945022,K955864
K913595,K955887
K935926,K955901
K950114,K955901
K946227,K955901
K921758,K955901
K934445,K955901
K921460,K955901
K854508,K955901
K953078,K955901
K894278,K955901
K882240,K955901
K942797,K955909
K944253,K955909
K901588,K960001
K953575,K960003
K854587,K960007
K935926,K960024
K950114,K960024
K946227,K960024
K921758,K960024
K921460,K960024
K854508,K960024
K952213,K960024
K894278,K960024
K933203,K960025
K953578,K960025
K935631,K960032
K904627,K960032
K934486,K960032
K922577,K960032
K933057,K960032
K951812,K960032
K952636,K960032
K946304,K960032
K905802,K960032
K922935,K960032
K950661,K960032
K944090,K960032
K940173,K960032
K941841,K960032
K933880,K960032
K911830,K960032
K921251,K960040
K883091,K960040
K895768,K960051
K943788,K960052
K931009,K960070
K932771,K960081
K891929,K960103
K871977,K960103
K894184,K960107
K932123,K960110
K902433,K960110
K925766,K960110
K933969,K960110
K934126,K960110
K933462,K960110
K902435,K960110
